,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play
0,109.1,32.5,2023-04-22 00:00:16.926,0.1574537,Wayward,Khadija Monifa Shaw,Manchester City WFC,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Corner
1,112.5,34.2,2023-04-22 00:02:34.144,0.08949469,Off T,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Volley,True,Open Play,High Pass,,,From Corner
2,97.3,27.1,2023-04-22 00:04:28.779,0.009850354,Blocked,Laura Coombs,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
3,113.4,28.1,2023-04-22 00:04:45.974,0.11504858,Off T,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,True,Open Play,Ground Pass,,,From Corner
4,86.2,32.8,2023-04-22 00:05:26.232,0.015117581000000001,Saved,Ingrid Filippa Angeldal,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
5,100.9,35.1,2023-04-22 00:06:14.715,0.061264772,Saved,Laura Coombs,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
6,93.7,23.6,2023-04-22 00:07:12.699,0.013548944,Off T,Lauren Hemp,Manchester City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
7,104.4,35.7,2023-04-22 00:10:14.211,0.06788527,Blocked,Lauren Hemp,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
8,107.7,53.6,2023-04-22 00:10:18.605,0.031743348000000005,Blocked,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
9,96.6,24.8,2023-04-22 00:10:59.539,0.018035196,Blocked,Stephanie Houghton,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
10,101.9,29.0,2023-04-22 00:12:30.546,0.07351451,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
11,91.5,31.0,2023-04-22 00:15:14.051,0.020830942,Off T,Laura Coombs,Manchester City WFC,Right Foot,Half Volley,False,Open Play,Ground Pass,,,From Corner
12,96.1,31.5,2023-04-22 00:17:16.167,0.024402427,Off T,Leila Ouahabi El Ouahabi,Manchester City WFC,Left Foot,Normal,True,Open Play,High Pass,,,From Corner
13,111.0,35.5,2023-04-22 00:23:03.969,0.18178815,Blocked,Chloe Kelly,Manchester City WFC,Left Foot,Normal,True,Open Play,Ground Pass,,,From Corner
14,107.6,52.5,2023-04-22 00:27:05.758,0.05348577,Off T,Nikola Karczewska,Tottenham Hotspur Women,Right Foot,Normal,True,Open Play,High Pass,,,From Corner
15,111.8,49.7,2023-04-22 00:30:44.673,0.14828683,Goal,Celin Bizet Ildhusøy,Tottenham Hotspur Women,Right Foot,Normal,True,Open Play,Low Pass,,,From Corner
16,112.4,38.8,2023-04-22 00:38:30.753,0.09177977,Saved,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
17,113.0,43.7,2023-04-22 00:38:58.629,0.1551822,Off T,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
18,106.4,22.5,2023-04-22 00:44:38.148,0.03256424,Saved,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,High Pass,,,From Corner
19,100.4,39.4,2023-04-22 00:45:40.790,0.09147741,Saved,Khadija Monifa Shaw,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
20,114.7,42.5,2023-04-22 00:46:05.529,0.15095037,Goal,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,,,,From Corner
21,108.1,40.1,2023-04-22 00:01:29.798,0.7835000000000001,Goal,Khadija Monifa Shaw,Manchester City WFC,Right Foot,Normal,False,Penalty,,,,From Corner
22,111.2,51.3,2023-04-22 00:17:37.112,0.18147576,Saved,Rosella Ayane,Tottenham Hotspur Women,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
23,105.6,50.3,2023-04-22 00:17:39.041,0.10080572,Off T,Nikola Karczewska,Tottenham Hotspur Women,Left Foot,Normal,True,Open Play,,,,From Corner
24,113.2,48.6,2023-04-22 00:23:35.323,0.06137974,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Volley,True,Open Play,High Pass,,,From Corner
25,94.7,41.7,2023-04-22 00:25:11.832,0.037354674000000004,Blocked,Kit Graham,Tottenham Hotspur Women,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
26,110.0,41.3,2023-04-22 00:36:54.050,0.050487593000000004,Wayward,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
27,101.3,59.7,2023-04-22 00:37:01.294,0.009946106000000001,Blocked,Stephanie Houghton,Manchester City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
